year,month,day_of_week,day_night,accident_severity,accident_type,killed,severly_injured,lightly_injured,injured_pedestrians,casualties_ages_0-19,casualties_ages_20-64,casualties_ages_65_plus,total_casualties,vehicle_count,drivers,road_type,localization_quality,settlement,road1,location,road2,road3,road4,source_road
2004,August,Saturday,Night,Light,Drive off road or on paveway,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,3.0,3.0,Junction,Exact,,20.0,,,,,20
2004,October,Thursday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,Junction,Exact,,20.0,,,,,20
2004,July,Friday,Night,Light,Other,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,20.0,,,,,20
2004,July,Wednesday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,Junction,Exact,,20.0,,,,,20
2004,February,Tuesday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,Junction,Exact,,20.0,,,,,20
2004,February,Friday,Night,Severe,Front to side collision,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,20.0,,441.0,,,20
2004,April,Saturday,Night,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,20.0,,461.0,2.0,,20
2004,March,Sunday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,20.0,,,,,20
2004,September,Thursday,Night,Light,Side to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,20.0,,,,,20
2004,March,Wednesday,Day,Light,Front to rear collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,Junction,Exact,,20.0,,,,,20
2004,September,Friday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,Junction,Exact,,20.0,,,,,20
2004,May,Monday,Day,Severe,Roll over,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,Junction,Exact,,20.0,,,,,20
2004,April,Wednesday,Day,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,Junction,Exact,,20.0,,,,,20
2004,September,Wednesday,Day,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,20.0,,,,,20
2004,April,Saturday,Day,Light,Hit an object,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Junction,Exact,,20.0,,,,,20
2004,January,Thursday,Day,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,Junction,Exact,,20.0,,,,,20
