location,year,total,fatal,severe,light
0.7,2018.0,8.0,2.0,2.0,4.0
0.7,2019.0,18.0,2.0,4.0,12.0
0.7,2020.0,19.0,2.0,3.0,14.0
0.7,2021.0,10.0,0.0,1.0,9.0
0.8,2003.0,2.0,0.0,0.0,2.0
0.8,2004.0,1.0,0.0,0.0,1.0
0.8,2005.0,5.0,1.0,2.0,2.0
0.8,2006.0,6.0,0.0,1.0,5.0
0.8,2007.0,1.0,0.0,0.0,1.0
0.8,2008.0,1.0,0.0,0.0,1.0
0.8,2009.0,7.0,0.0,1.0,6.0
0.8,2010.0,2.0,1.0,0.0,1.0
0.8,2011.0,1.0,0.0,0.0,1.0
0.8,2012.0,4.0,0.0,1.0,3.0
0.8,2013.0,10.0,0.0,0.0,10.0
0.8,2014.0,4.0,0.0,0.0,4.0
0.8,2015.0,7.0,0.0,0.0,7.0
0.8,2016.0,9.0,1.0,1.0,7.0
0.8,2017.0,5.0,0.0,1.0,4.0
0.8,2018.0,14.0,1.0,2.0,11.0
0.8,2019.0,15.0,1.0,3.0,11.0
0.8,2020.0,15.0,0.0,2.0,13.0
0.8,2021.0,16.0,0.0,4.0,12.0
0.8,2022.0,3.0,0.0,0.0,3.0
0.9,2003.0,3.0,0.0,0.0,3.0
0.9,2004.0,3.0,0.0,1.0,2.0
0.9,2005.0,6.0,0.0,2.0,4.0
0.9,2006.0,3.0,1.0,0.0,2.0
0.9,2007.0,1.0,1.0,0.0,0.0
0.9,2008.0,2.0,0.0,1.0,1.0
0.9,2009.0,2.0,0.0,0.0,2.0
0.9,2010.0,2.0,0.0,0.0,2.0
0.9,2011.0,1.0,0.0,0.0,1.0
0.9,2012.0,2.0,0.0,0.0,2.0
0.9,2013.0,1.0,0.0,1.0,0.0
0.9,2014.0,1.0,0.0,0.0,1.0
0.9,2015.0,5.0,0.0,1.0,4.0
0.9,2016.0,6.0,0.0,3.0,3.0
0.9,2017.0,1.0,0.0,1.0,0.0
0.9,2018.0,11.0,1.0,1.0,9.0
0.9,2019.0,8.0,1.0,2.0,5.0
0.9,2020.0,6.0,1.0,0.0,5.0
0.9,2021.0,8.0,0.0,3.0,5.0
1.0,2003.0,32.0,0.0,8.0,24.0
1.0,2004.0,36.0,2.0,5.0,29.0
1.0,2005.0,23.0,1.0,4.0,18.0
1.0,2006.0,17.0,1.0,2.0,14.0
1.0,2007.0,34.0,3.0,3.0,28.0
1.0,2008.0,25.0,1.0,1.0,23.0
1.0,2009.0,42.0,0.0,6.0,36.0
1.0,2010.0,59.0,2.0,8.0,49.0
1.0,2011.0,66.0,2.0,9.0,55.0
1.0,2012.0,73.0,2.0,11.0,60.0
1.0,2013.0,67.0,0.0,10.0,57.0
1.0,2014.0,68.0,1.0,18.0,49.0
1.0,2015.0,51.0,1.0,8.0,42.0
1.0,2016.0,69.0,2.0,12.0,55.0
1.0,2017.0,116.0,2.0,20.0,94.0
1.0,2018.0,56.0,2.0,11.0,43.0
1.0,2019.0,44.0,5.0,13.0,26.0
1.0,2020.0,26.0,3.0,5.0,18.0
1.0,2021.0,23.0,2.0,3.0,18.0
1.0,2022.0,1.0,0.0,1.0,0.0
1.1,2003.0,36.0,2.0,6.0,28.0
1.1,2004.0,32.0,3.0,7.0,22.0
1.1,2005.0,34.0,2.0,8.0,24.0
1.1,2006.0,39.0,1.0,8.0,30.0
1.1,2007.0,27.0,1.0,4.0,22.0
1.1,2008.0,34.0,0.0,8.0,26.0
1.1,2009.0,32.0,0.0,6.0,26.0
1.1,2010.0,17.0,0.0,1.0,16.0
1.1,2011.0,8.0,1.0,3.0,4.0
1.1,2012.0,1.0,0.0,0.0,1.0
1.1,2013.0,1.0,0.0,0.0,1.0
